"Metropolitan Statistical Area","2018 Homeless Count"
"New York-Newark-Jersey City, NY-NJ-PA",91964
"Los Angeles-Long Beach-Anaheim, CA",57720
"San Francisco-Oakland-Hayward, CA",16920
"Seattle-Tacoma-Bellevue, WA",14598
"Boston-Cambridge-Newton, MA-NH",13189
"Washington-Arlington-Alexandria, DC-VA-MD-WV",11115
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",9885
"San Diego-Carlsbad, CA",8576
"Chicago-Naperville-Elgin, IL-IN-WI",8517
"San Jose-Sunnyvale-Santa Clara, CA",7648
"Tampa-St. Petersburg-Clearwater, FL",7242
"Dallas-Fort Worth-Arlington, TX",7188
"Miami-Fort Lauderdale-West Palm Beach, FL",7143
"Phoenix-Mesa-Scottsdale, AZ",6836
"Portland-Vancouver-Hillsboro, OR-WA",6408
"Las Vegas-Henderson-Paradise, NV",6083
"Atlanta-Sandy Springs-Roswell, GA",5741
"Sacramento--Roseville--Arden-Arcade, CA",5466
"Minneapolis-St. Paul-Bloomington, MN-WI",5462
"Denver-Aurora-Lakewood, CO",4900
"Houston-The Woodlands-Sugar Land, TX",4735
"Urban Honolulu, HI",4495
"Riverside-San Bernardino-Ontario, CA",4434
"Baltimore-Columbia-Towson, MD",4203
"Springfield, MA",3660
"San Antonio-New Braunfels, TX",3400
"Santa Rosa, CA",2996
"Detroit-Warren-Dearborn, MI",2908
"Salinas, CA",2905
"Nashville-Davidson--Murfreesboro--Franklin, TN",2821
"Austin-Round Rock, TX",2713
"Charlotte-Concord-Gastonia, NC-SC",2658
"St. Louis, MO-IL",2542
"Orlando-Kissimmee-Sanford, FL",2357
"Indianapolis-Carmel-Anderson, IN",2344
"Santa Cruz-Watsonville, CA",2320
"Kansas City, MO-KS",2264
"Cleveland-Elyria, OH",2216
"Columbus, OH",2198
"Jacksonville, FL",2137
"San Juan-Carolina-Caguas, PR",2114
"Providence-Warwick, RI-MA",2096
"Worcester, MA-CT",1991
"Cincinnati, OH-KY-IN",1856
"Salt Lake City, UT",1850
"Fresno, CA",1850
"Albuquerque, NM",1828
"Salem, OR",1785
"Oklahoma City, OK",1756
"Santa Maria-Santa Barbara, CA",1706
"Stockton-Lodi, CA",1685
"Eugene, OR",1641
"Colorado Springs, CO",1607
"Virginia Beach-Norfolk-Newport News, VA-NC",1600
"Albany-Schenectady-Troy, NY",1569
"Memphis, TN-MS-AR",1498
"El Centro, CA",1493
"Omaha-Council Bluffs, NE-IA",1465
"Hartford-West Hartford-East Hartford, CT",1447
"Tucson, AZ",1380
"Spokane-Spokane Valley, WA",1375
"Modesto, CA",1356
"Milwaukee-Waukesha-West Allis, WI",1347
"New Orleans-Metairie, LA",1346
"Pittsburgh, PA",1313
"Tulsa, OK",1310
"Oxnard-Thousand Oaks-Ventura, CA",1308
"Anchorage, AK",1306
"Louisville/Jefferson County, KY-IN",1247
"Reno, NV",1195
"North Port-Sarasota-Bradenton, FL",1192
"Little Rock-North Little Rock-Conway, AR",1190
"Knoxville, TN",1183
"Port St. Lucie, FL",1164
"Raleigh, NC",1131
"Vallejo-Fairfield, CA",1129
"Chico, CA",1125
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",1095
"Rochester, NY",1072
"Savannah, GA",1059
"New Haven-Milford, CT",1028
"Grand Rapids-Wyoming, MI",1019
"Boise City, ID",1005
"Portland-South Portland, ME",994
"Birmingham-Hoover, AL",991
"El Paso, TX",895
"Bakersfield, CA",885
"Des Moines-West Des Moines, IA",873
"Buffalo-Cheektowaga-Niagara Falls, NY",851
"Amarillo, TX",834
"Bridgeport-Stamford-Norwalk, CT",819
"Dayton, OH",817
"Lexington-Fayette, KY",799
"Greensboro-High Point, NC",795
"Tallahassee, FL",783
"Fort Collins, CO",775
"Kahului-Wailuku-Lahaina, HI",774
"Yuba City, CA",765
"Toledo, OH",749
"Palm Bay-Melbourne-Titusville, FL",734
"Medford, OR",732
"Visalia-Porterville, CA",729
"Cape Coral-Fort Myers, FL",728
"Manchester-Nashua, NH",708
"Madison, WI",704
"Richmond, VA",701
"Greenville-Anderson-Mauldin, SC",697
"Columbia, SC",696
"Deltona-Daytona Beach-Ormond Beach, FL",683
"Syracuse, NY",679
"Akron, OH",669
"Greeley, CO",669
"Asheville, NC",668
"Redding, CA",659
"Wichita, KS",656
"Naples-Immokalee-Marco Island, FL",653
"Kennewick-Richland, WA",637
"Harrisburg-Carlisle, PA",633
"Pensacola-Ferry Pass-Brent, FL",632
"Bend-Redmond, OR",628
"Olympia-Tumwater, WA",615
"Winston-Salem, NC",611
"Kalamazoo-Portage, MI",610
"Lincoln, NE",597
"Bremerton-Silverdale, WA",590
"Lansing-East Lansing, MI",585
"McAllen-Edinburg-Mission, TX",576
"Ocala, FL",572
"Yakima, WA",566
"Allentown-Bethlehem-Easton, PA-NJ",563
"Reading, PA",562
"Durham-Chapel Hill, NC",553
"Lakeland-Winter Haven, FL",552
"Boulder, CO",551
"Salisbury, MD-DE",539
"Augusta-Richmond County, GA-SC",535
"Albany, OR",527
"Merced, CA",514
"Gainesville, FL",503
"Springfield, MO",502
"Crestview-Fort Walton Beach-Destin, FL",495
"Bellingham, WA",485
"Duluth, MN-WI",483
"Trenton, NJ",479
"Burlington-South Burlington, VT",471
"Ogden-Clearfield, UT",466
"Kingston, NY",464
"Fayetteville-Springdale-Rogers, AR-MO",460
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",451
"Chattanooga, TN-GA",444
"Topeka, KS",442
"Flint, MI",438
"Atlantic City-Hammonton, NJ",437
"Jackson, MS",425
"Lancaster, PA",406
"Fayetteville, NC",403
"Corvallis, OR",384
"Pueblo, CO",383
"Sebastian-Vero Beach, FL",379
"Mobile, AL",370
"Peoria, IL",369
"Grants Pass, OR",368
"Montgomery, AL",359
"Saginaw, MI",357
"Grand Junction, CO",349
"Huntington-Ashland, WV-KY-OH",348
"Shreveport-Bossier City, LA",345
"Scranton--Wilkes-Barre--Hazleton, PA",342
"Sioux Falls, SD",339
"Erie, PA",336
"Huntsville, AL",335
"Charleston-North Charleston, SC",333
"Columbus, GA-AL",333
"Youngstown-Warren-Boardman, OH-PA",332
"York-Hanover, PA",324
"Norwich-New London, CT",323
"Napa, CA",322
"Baton Rouge, LA",318
"Roanoke, VA",318
"Barnstable Town, MA",316
"Corpus Christi, TX",309
"Sioux City, IA-NE-SD",305
"Killeen-Temple, TX",297
"Madera, CA",294
"Prescott, AZ",293
"Canton-Massillon, OH",292
"Brownsville-Harlingen, TX",288
"Bangor, ME",288
"Ann Arbor, MI",282
"Beaumont-Port Arthur, TX",281
"Springfield, IL",280
"Gulfport-Biloxi-Pascagoula, MS",277
"Mount Vernon-Anacortes, WA",277
"Racine, WI",275
"Joplin, MO",275
"Lake Havasu City-Kingman, AZ",272
"Fort Wayne, IN",271
"Yuma, AZ",271
"Lafayette, LA",270
"Aguadilla-Isabela, PR",265
"Wenatchee, WA",263
"Spartanburg, SC",260
"Rockford, IL",256
"Hagerstown-Martinsburg, MD-WV",254
"Athens-Clarke County, GA",254
"Ponce, PR",252
"Charleston, WV",252
"Panama City, FL",246
"Green Bay, WI",244
"Hanford-Corcoran, CA",238
"Battle Creek, MI",236
"Longview, WA",236
"Florence, SC",232
"Wilmington, NC",231
"Pittsfield, MA",231
"Billings, MT",228
"Fort Smith, AR-OK",226
"Hickory-Lenoir-Morganton, NC",214
"Lubbock, TX",212
"Champaign-Urbana, IL",210
"Monroe, MI",209
"St. Joseph, MO-KS",209
"Fairbanks, AK",209
"Lewiston-Auburn, ME",203
"Evansville, IN-KY",199
"Dover, DE",199
"Jackson, TN",199
"South Bend-Mishawaka, IN-MI",198
"Rapid City, SD",195
"Kingsport-Bristol-Bristol, TN-VA",190
"Fargo, ND-MN",188
"Cedar Rapids, IA",186
"Laredo, TX",185
"Davenport-Moline-Rock Island, IA-IL",184
"Arecibo, PR",184
"Flagstaff, AZ",184
"Daphne-Fairhope-Foley, AL",181
"Appleton, WI",179
"Sebring, FL",177
"Sierra Vista-Douglas, AZ",168
"Punta Gorda, FL",164
"Charlottesville, VA",163
"Provo-Orem, UT",162
"Decatur, IL",161
"Muskegon, MI",159
"Missoula, MT",156
"St. Cloud, MN",155
"Coeur d'Alene, ID",154
"California-Lexington Park, MD",153
"Tyler, TX",152
"Longview, TX",149
"College Station-Bryan, TX",147
"Vineland-Bridgeton, NJ",147
"Rochester, MN",146
"Walla Walla, WA",145
"Idaho Falls, ID",144
"Johnson City, TN",143
"Florence-Muscle Shoals, AL",141
"Morristown, TN",141
"Waco, TX",138
"Bloomington, IL",138
"Utica-Rome, NY",136
"Lafayette-West Lafayette, IN",135
"Binghamton, NY",134
"Homosassa Springs, FL",132
"Las Cruces, NM",131
"Oshkosh-Neenah, WI",130
"Elkhart-Goshen, IN",128
"Eau Claire, WI",128
"Janesville-Beloit, WI",124
"Macon-Bibb County, GA",123
"Decatur, AL",122
"Sumter, SC",121
"Waterloo-Cedar Falls, IA",119
"Jonesboro, AR",117
"Abilene, TX",116
"Iowa City, IA",116
"Texarkana, TX-AR",115
"Midland, TX",114
"Jacksonville, NC",113
"St. George, UT",113
"Lynchburg, VA",112
"Great Falls, MT",112
"Harrisonburg, VA",110
"The Villages, FL",109
"Cleveland, TN",109
"Twin Falls, ID",109
"East Stroudsburg, PA",108
"Terre Haute, IN",108
"Wichita Falls, TX",108
"Odessa, TX",107
"Cheyenne, WY",106
"Bowling Green, KY",105
"Gainesville, GA",104
"Greenville, NC",104
"Bloomington, IN",104
"Winchester, VA-WV",104
"La Crosse-Onalaska, WI-MN",104
"Wausau, WI",104
"San Germán, PR",104
"State College, PA",103
"Warner Robins, GA",102
"Grand Forks, ND-MN",102
"Logan, UT-ID",100
"Clarksville, TN-KY",99
"Chambersburg-Waynesboro, PA",99
"Monroe, LA",94
"Elizabethtown-Fort Knox, KY",94
"Burlington, NC",93
"Bismarck, ND",93
"Hilton Head Island-Bluffton-Beaufort, SC",92
"Cumberland, MD-WV",92
"Lewiston, ID-WA",92
"Santa Fe, NM",91
"Wheeling, WV-OH",91
"Glens Falls, NY",91
"Ithaca, NY",91
"Ocean City, NJ",90
"Alexandria, LA",89
"Lebanon, PA",89
"Sheboygan, WI",89
"Hot Springs, AR",89
"Casper, WY",89
"Niles-Benton Harbor, MI",88
"Rocky Mount, NC",87
"Sherman-Denison, TX",87
"Johnstown, PA",87
"Pocatello, ID",86
"Houma-Thibodaux, LA",83
"Columbia, MO",83
"Albany, GA",83
"Lake Charles, LA",81
"Jackson, MI",81
"San Angelo, TX",81
"Kankakee, IL",81
"Altoona, PA",80
"Farmington, NM",79
"Fond du Lac, WI",79
"Valdosta, GA",78
"Blacksburg-Christiansburg-Radford, VA",77
"Dalton, GA",77
"Mayagüez, PR",76
"New Bern, NC",75
"Tuscaloosa, AL",74
"Auburn-Opelika, AL",74
"Williamsport, PA",74
"Goldsboro, NC",73
"Lawrence, KS",73
"Weirton-Steubenville, WV-OH",73
"Owensboro, KY",73
"Muncie, IN",73
"Jefferson City, MO",72
"Dothan, AL",70
"Michigan City-La Porte, IN",70
