"Metropolitan Statistical Area","2018 Homelessness Representation Ratio"
"Santa Cruz-Watsonville, CA",5.01
"El Centro, CA",4.86
"Salinas, CA",3.95
"Santa Rosa, CA",3.55
"Springfield, MA",3.43
"Chico, CA",2.88
"Kahului-Wailuku-Lahaina, HI",2.74
"New York-Newark-Jersey City, NY-NJ-PA",2.72
"Urban Honolulu, HI",2.71
"Yuba City, CA",2.59
"Los Angeles-Long Beach-Anaheim, CA",2.57
"Eugene, OR",2.56
"Grants Pass, OR",2.49
"Corvallis, OR",2.47
"Albany, OR",2.45
"Salem, OR",2.44
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2.28
"San Jose-Sunnyvale-Santa Clara, CA",2.26
"Santa Maria-Santa Barbara, CA",2.26
"Seattle-Tacoma-Bellevue, WA",2.19
"Redding, CA",2.17
"San Francisco-Oakland-Hayward, CA",2.12
"Medford, OR",1.97
"Anchorage, AK",1.94
"Bend-Redmond, OR",1.94
"Amarillo, TX",1.84
"Las Vegas-Henderson-Paradise, NV",1.61
"Savannah, GA",1.61
"Boston-Cambridge-Newton, MA-NH",1.60
"Kingston, NY",1.54
"Portland-Vancouver-Hillsboro, OR-WA",1.53
"San Diego-Carlsbad, CA",1.52
"Reno, NV",1.50
"Vallejo-Fairfield, CA",1.50
"Modesto, CA",1.46
"Port St. Lucie, FL",1.43
"Sebastian-Vero Beach, FL",1.42
"Spokane-Spokane Valley, WA",1.42
"Sacramento--Roseville--Arden-Arcade, CA",1.38
"Napa, CA",1.37
"Tampa-St. Petersburg-Clearwater, FL",1.36
"Pueblo, CO",1.35
"Grand Junction, CO",1.35
"Yakima, WA",1.33
"Stockton-Lodi, CA",1.32
"Fort Collins, CO",1.31
"Walla Walla, WA",1.31
"Wenatchee, WA",1.30
"Bremerton-Silverdale, WA",1.29
"Colorado Springs, CO",1.29
"Longview, WA",1.28
"Mount Vernon-Anacortes, WA",1.28
"Kennewick-Richland, WA",1.27
"Bellingham, WA",1.27
"Olympia-Tumwater, WA",1.27
"Burlington-South Burlington, VT",1.26
"Greeley, CO",1.26
"Fairbanks, AK",1.25
"Worcester, MA-CT",1.24
"Tallahassee, FL",1.20
"Albuquerque, NM",1.18
"Bangor, ME",1.13
"Topeka, KS",1.12
"Lewiston-Auburn, ME",1.12
"Saginaw, MI",1.11
"Merced, CA",1.11
"Madera, CA",1.10
"Fresno, CA",1.10
"Portland-South Portland, ME",1.10
"Pittsfield, MA",1.08
"Sioux City, IA-NE-SD",1.07
"Kalamazoo-Portage, MI",1.06
"Lincoln, NE",1.06
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.05
"Albany-Schenectady-Troy, NY",1.05
"Crestview-Fort Walton Beach-Destin, FL",1.05
"Battle Creek, MI",1.04
"Gainesville, FL",1.03
"Duluth, MN-WI",1.03
"Naples-Immokalee-Marco Island, FL",1.02
"Manchester-Nashua, NH",1.01
"Boulder, CO",1.00
"Sebring, FL",0.99
"Denver-Aurora-Lakewood, CO",0.99
"Atlantic City-Hammonton, NJ",0.97
"St. Joseph, MO-KS",0.97
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.96
"Little Rock-North Little Rock-Conway, AR",0.95
"Ocala, FL",0.94
"Hanford-Corcoran, CA",0.93
"Visalia-Porterville, CA",0.93
"Omaha-Council Bluffs, NE-IA",0.92
"Lexington-Fayette, KY",0.92
"Jackson, TN",0.91
"Decatur, IL",0.91
"Joplin, MO",0.91
"Oxnard-Thousand Oaks-Ventura, CA",0.91
"Salt Lake City, UT",0.90
"Minneapolis-St. Paul-Bloomington, MN-WI",0.89
"Baltimore-Columbia-Towson, MD",0.89
"Barnstable Town, MA",0.88
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.86
"Lewiston, ID-WA",0.86
"Asheville, NC",0.86
"North Port-Sarasota-Bradenton, FL",0.86
"Phoenix-Mesa-Scottsdale, AZ",0.83
"Racine, WI",0.83
"Jacksonville, FL",0.82
"Monroe, MI",0.82
"Boise City, ID",0.81
"Great Falls, MT",0.81
"California-Lexington Park, MD",0.80
"San Antonio-New Braunfels, TX",0.80
"Springfield, IL",0.80
"Knoxville, TN",0.79
"Reading, PA",0.79
"Des Moines-West Des Moines, IA",0.79
"Tucson, AZ",0.79
"Billings, MT",0.78
"Sierra Vista-Douglas, AZ",0.78
"Rapid City, SD",0.78
"Tulsa, OK",0.78
"Salisbury, MD-DE",0.78
"Missoula, MT",0.78
"Lake Havasu City-Kingman, AZ",0.77
"Trenton, NJ",0.77
"Providence-Warwick, RI-MA",0.77
"Flagstaff, AZ",0.76
"Yuma, AZ",0.76
"Pensacola-Ferry Pass-Brent, FL",0.76
"Sioux Falls, SD",0.75
"Prescott, AZ",0.75
"Oklahoma City, OK",0.74
"Austin-Round Rock, TX",0.74
"Toledo, OH",0.74
"Erie, PA",0.73
"Palm Bay-Melbourne-Titusville, FL",0.73
"Lansing-East Lansing, MI",0.72
"Panama City, FL",0.72
"Norwich-New London, CT",0.72
"Hartford-West Hartford-East Hartford, CT",0.71
"Athens-Clarke County, GA",0.71
"New Haven-Milford, CT",0.71
"Charleston, WV",0.71
"Morristown, TN",0.70
"Miami-Fort Lauderdale-West Palm Beach, FL",0.68
"Indianapolis-Carmel-Anderson, IN",0.68
"Sumter, SC",0.67
"Florence, SC",0.67
"Casper, WY",0.67
"Dover, DE",0.66
"Memphis, TN-MS-AR",0.66
"Harrisburg-Carlisle, PA",0.65
"Columbus, GA-AL",0.64
"Cleveland-Elyria, OH",0.64
"Flint, MI",0.64
"Springfield, MO",0.63
"Cheyenne, WY",0.63
"Madison, WI",0.63
"El Paso, TX",0.63
"New Orleans-Metairie, LA",0.63
"Kansas City, MO-KS",0.63
"Arecibo, PR",0.62
"San Juan-Carolina-Caguas, PR",0.62
"Syracuse, NY",0.62
"Columbus, OH",0.62
"Fayetteville, NC",0.62
"Greensboro-High Point, NC",0.61
"Deltona-Daytona Beach-Ormond Beach, FL",0.61
"Charlotte-Concord-Gastonia, NC-SC",0.61
"Wichita, KS",0.60
"Dayton, OH",0.60
"Roanoke, VA",0.60
